iter	Passed	Remaining
398	2225	3352
399	2226	3340
400	2229	3330
401	2230	3318
402	2231	3306
403	2233	3294
404	2234	3282
405	2235	3270
406	2236	3258
407	2237	3247
408	2239	3235
409	2240	3223
410	2241	3212
411	2242	3200
412	2244	3189
413	2245	3178
414	2246	3166
415	2247	3155
416	2249	3145
417	2251	3135
418	2252	3124
419	2254	3112
420	2255	3101
421	2256	3090
422	2257	3079
423	2258	3068
424	2259	3057
425	2260	3046
426	2262	3035
427	2264	3026
428	2265	3015
429	2267	3005
430	2268	2994
431	2269	2983
432	2270	2973
433	2271	2962
434	2272	2951
435	2273	2941
436	2274	2930
437	2276	2921
438	2278	2911
439	2279	2901
440	2281	2892
441	2283	2882
442	2284	2872
443	2286	2863
444	2287	2853
445	2289	2843
446	2290	2833
447	2291	2823
448	2294	2815
449	2295	2805
450	2296	2795
451	2297	2785
452	2299	2776
453	2300	2766
454	2301	2756
455	2302	2746
456	2303	2737
457	2304	2727
458	2306	2718
459	2309	2711
460	2311	2702
461	2312	2693
462	2314	2683
463	2315	2674
464	2316	2665
465	2317	2656
466	2319	2646
467	2320	2637
468	2321	2628
469	2324	2621
470	2325	2611
471	2326	2602
472	2327	2593
473	2329	2584
474	2330	2575
475	2331	2566
476	2332	2557
477	2333	2548
478	2334	2539
479	2336	2530
480	2338	2523
481	2340	2514
482	2341	2506
483	2342	2497
484	2343	2488
485	2344	2479
486	2345	2471
487	2347	2462
488	2348	2454
489	2350	2445
490	2351	2437
491	2354	2430
492	2355	2422
493	2356	2413
494	2357	2405
495	2358	2396
496	2359	2388
497	2362	2381
498	2364	2373
499	2366	2366
500	2369	2359
501	2371	2352
502	2373	2345
503	2375	2337
504	2376	2329
505	2377	2321
506	2379	2313
507	2381	2306
508	2383	2299
509	2384	2291
510	2385	2283
511	2387	2275
512	2388	2267
513	2389	2259
514	2391	2252
515	2392	2244
516	2393	2236
517	2395	2229
518	2397	2221
519	2398	2213
520	2399	2206
521	2400	2198
522	2401	2190
523	2402	2182
524	2404	2175
525	2405	2167
526	2406	2159
527	2407	2152
528	2408	2144
529	2411	2138
530	2412	2131
531	2414	2124
532	2415	2116
533	2416	2109
534	2418	2101
535	2419	2094
536	2420	2086
537	2421	2079
538	2422	2072
539	2423	2064
540	2426	2058
541	2427	2051
542	2428	2043
543	2429	2036
544	2430	2029
545	2431	2022
546	2433	2014
547	2434	2007
548	2435	2000
549	2436	1993
550	2438	1986
551	2440	1981
552	2442	1974
553	2443	1967
554	2444	1960
555	2445	1953
556	2447	1946
557	2448	1939
558	2450	1932
559	2451	1926
560	2452	1919
561	2455	1913
562	2456	1906
563	2458	1900
564	2460	1894
565	2461	1887
566	2462	1880
567	2463	1873
568	2464	1867
569	2466	1860
570	2467	1853
571	2469	1847
572	2471	1841
573	2472	1835
574	2474	1828
575	2475	1822
576	2477	1815
577	2478	1809
578	2479	1803
579	2480	1796
580	2482	1789
581	2484	1784
582	2486	1778
583	2487	1771
584	2488	1765
585	2489	1759
586	2490	1752
587	2492	1746
588	2493	1739
589	2494	1733
590	2495	1727
591	2497	1721
592	2500	1715
593	2501	1710
594	2503	1704
595	2504	1697
596	2506	1691
597	2507	1685
598	2508	1679
599	2510	1673
600	2511	1667
601	2513	1661
602	2515	1655
603	2516	1649
604	2517	1643
605	2518	1637
606	2519	1631
607	2521	1625
608	2522	1619
609	2523	1613
610	2524	1607
611	2526	1601
612	2529	1597
613	2531	1591
